{UAS: 1.0, LAS: 1.0}
(她 --> 行为: att)
(的 --> 她: adjct)
(行为 --> 残暴: subj)
(残暴 --> CLS: root)
(到 --> 残暴: cmp)
(了 --> 到: adjct)
(极点 --> 到: pobj)
(。 --> 极点: punc)
(抗灾 --> 缺: subj)
(救灾 --> 抗灾: sasubj)
(, --> 救灾: punc)
(恢复 --> 救灾: elbr)
(家园 --> 恢复: obj)
(, --> 家园: punc)
(最 --> 缺: adv)
(缺 --> 的: de)
(的 --> 莫过于: subj)
(莫过于 --> CLS: root)
(资金 --> 莫过于: obj)
(了 --> 莫过于: adjct)
(。 --> 了: punc)
(转换 --> 好比: subj)
(经营 --> 机制: att)
(机制 --> 转换: obj)
(好比 --> CLS: root)
(一 --> 盘: att)
(盘 --> 棋: att)
(棋 --> 好比: obj)
(, --> 棋: punc)
(一 --> 变: adv)
(变 --> 好比: elbr)
(俱 --> 变: adv)
(变 --> 变: dfsubj)
(。 --> 变: punc)
(该 --> 团: att)
(团 --> 演员: att)
(演员 --> 为: subj)
(大都 --> 为: adv)
(为 --> CLS: root)
(中国 --> 学校: att)
(北方 --> 学校: att)
(曲艺 --> 学校: att)
(学校 --> 毕业: adv)
(毕业 --> 佼佼者: att)
(的 --> 毕业: adjct)
(佼佼者 --> 为: obj)
(。 --> 佼佼者: punc)
(愿 --> CLS: root)
(每 --> 个: att)
(个 --> 人: att)
(人 --> 有: subj)
(都 --> 有: adv)
(有 --> 愿: obj)
(灵魂 --> 馨香: att)
(的 --> 灵魂: adjct)
(馨香 --> 有: obj)
(飘 --> 馨香: pred)
(出 --> 飘: cmp)
(。 --> 出: punc)
(锐钝 --> 互补: subj)
(互补 --> CLS: root)
(而 --> 得当: adv)
(又 --> 得当: adv)
(轻重 --> 得当: subj)
(得当 --> 互补: elbr)
(, --> 得当: punc)
(繁简 --> 适度: subj)
(适度 --> 兼: subj)
(兼 --> 得当: elbr)
(及 --> 兼: adjct)
(虚实 --> 照应: subj)
(照应 --> 兼: obj)
(。 --> 照应: punc)
